CLIENTE;SOLICITANTE;SERVICIO;AP;ESTADO DE ENVÍO;MOTIVO POD;ULTIMA FECHA DE ACTUALIZACIÓN EN SAP;CENTRO STOCK;DESTINO ;VISITAS;RESPUESTA  SIN DEMORA;RESPUESTA CON DEMORA ;;TEXTOS UX;;TEXTOS UX + HC;TEXTOS UX + HC
Brandlive (3 visitas);102003095;PAQUETERIA;40034583 - 40034609 - 40034671 - 40034673 - 40035196 - 40035626 - 40035776 - 40041646 ;SINIESTRADO;14 - 35;N/A;ULTIMA MILLA;N/A;En todas sus visitas;Hola! Hemos finalizado el proceso de envio. Por favor contactate con el remitente para mayor informacion. Que tengas un buen dia!;N/A;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.
 Topper (3 visitas);102002941;PAQUETERIA;40031939;SINIESTRADO;14 - 35;N/A;ULTIMA MILLA;N/A;En todas sus visitas;Hola! Hemos finalizado el proceso de envio. Por favor contactate con el remitente para mayor informacion. Que tengas un buen dia!;N/A;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.
 Topper (MAM);102002941;PAQUETERIA;40037391;SINIESTRADO;14 - 35;N/A;ULTIMA MILLA;N/A;En todas sus visitas;Hola! Hemos finalizado el proceso de envio. Por favor contactate con el remitente para mayor informacion. Que tengas un buen dia!;N/A;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.
Brandlive (MAM);102003095;PAQUETERIA;40036601;SINIESTRADO;14 - 35;N/A;ULTIMA MILLA;N/A;En todas sus visitas;Hola! Hemos finalizado el proceso de envio. Por favor contactate con el remitente para mayor informacion. Que tengas un buen dia!;N/A;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.
 Officenet - ALOT;102001306;PAQUETERIA;40037368 - ;SINIESTRADO;14 - 35;N/A;ULTIMA MILLA;N/A;En todas sus visitas;Hola! Hemos finalizado el proceso de envio. Por favor contactate con el remitente para mayor informacion. Que tengas un buen dia!;N/A;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.
GAX - Prune;102002806;PAQUETERIA;40037303;SINIESTRADO;14 - 35;N/A;ULTIMA MILLA;N/A;En todas sus visitas;Hola! Hemos finalizado el proceso de envio. Por favor contactate con el remitente para mayor informacion. Que tengas un buen dia!;N/A;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.
SPP;102001254;PAQUETERIA;40021148 - 40040001 - 40041506;SINIESTRADO;14 - 35;N/A;ULTIMA MILLA;N/A;En todas sus visitas;Hola! Hemos finalizado el proceso de envio. Por favor contactate con el remitente para mayor informacion. Que tengas un buen dia!;N/A;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.
 El auditor;102004520;PAQUETERIA;40041620;SINIESTRADO;14 - 35;N/A;ULTIMA MILLA;N/A;En todas sus visitas;Hola! Hemos finalizado el proceso de envio. Por favor contactate con el remitente para mayor informacion. Que tengas un buen dia!;N/A;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.
 Puma;102003450;PAQUETERIA;40040115;SINIESTRADO;14 - 35;N/A;ULTIMA MILLA;N/A;En todas sus visitas;Hola! Hemos finalizado el proceso de envio. Por favor contactate con el remitente para mayor informacion. Que tengas un buen dia!;N/A;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.
 Pickit;102003190;PAQUETERIA;40036896 - 40037606 - 40035570 - 40037273 - 40037314 - 40038562 - 40039029 - 40040169 - 40040170 - 40041213 - 40040944 - 40040278 - 40040213 - ;SINIESTRADO;14 - 35;N/A;ULTIMA MILLA;N/A;En todas sus visitas;Hola! Hemos finalizado el proceso de envio. Por favor contactate con el remitente para mayor informacion. Que tengas un buen dia!;N/A;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.
 Argenpay;102003780;PAQUETERIA;40038331 - 40038332 - 40039419 - 40039935;SINIESTRADO;14 - 35;N/A;ULTIMA MILLA;N/A;En todas sus visitas;Hola! Hemos finalizado el proceso de envio. Por favor contactate con el remitente para mayor informacion. Que tengas un buen dia!;N/A;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.
 Gobierno de la Ciudad c/Distribucion;102002456;POSTAL;40040984;SINIESTRADO;14 - 35;N/A;ULTIMA MILLA;N/A;En todas sus visitas;Hola! Hemos finalizado el proceso de envio. Por favor contactate con el remitente para mayor informacion. Que tengas un buen dia!;N/A;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.
Macro Premia;102004140 Direct Group ;PAQUETERIA;40040076;SINIESTRADO;14 - 35;N/A;ULTIMA MILLA;N/A;En todas sus visitas;Hola! Hemos finalizado el proceso de envio. Por favor contactate con el remitente para mayor informacion. Que tengas un buen dia!;N/A;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.
Macro Premia;102004176 Ac-Eastway;PAQUETERIA;40040133;SINIESTRADO;14 - 35;N/A;ULTIMA MILLA;N/A;En todas sus visitas;Hola! Hemos finalizado el proceso de envio. Por favor contactate con el remitente para mayor informacion. Que tengas un buen dia!;N/A;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.
Macro Premia;102004216 Lamoliant S.R.L Direct Sale;PAQUETERIA;40040932;SINIESTRADO;14 - 35;N/A;ULTIMA MILLA;N/A;En todas sus visitas;Hola! Hemos finalizado el proceso de envio. Por favor contactate con el remitente para mayor informacion. Que tengas un buen dia!;N/A;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.
Macro Premia;102002628 Etercor;PAQUETERIA;40025753 - 40025755 - 40040016;SINIESTRADO;14 - 35;N/A;ULTIMA MILLA;N/A;En todas sus visitas;Hola! Hemos finalizado el proceso de envio. Por favor contactate con el remitente para mayor informacion. Que tengas un buen dia!;N/A;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.
Macro Premia;102001628 Puntos y Premios;PAQUETERIA;40020414 - 40037922;SINIESTRADO;14 - 35;N/A;ULTIMA MILLA;N/A;En todas sus visitas;Hola! Hemos finalizado el proceso de envio. Por favor contactate con el remitente para mayor informacion. Que tengas un buen dia!;N/A;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.
Macro Premia; 102004281 Compagno Victoria (yellow&co);PAQUETERIA;40040198;SINIESTRADO;14 - 35;N/A;ULTIMA MILLA;N/A;En todas sus visitas;Hola! Hemos finalizado el proceso de envio. Por favor contactate con el remitente para mayor informacion. Que tengas un buen dia!;N/A;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.
Macro Premia;  102004506 NIMASA SRL;PAQUETERIA;40041486;SINIESTRADO;14 - 35;N/A;ULTIMA MILLA;N/A;En todas sus visitas;Hola! Hemos finalizado el proceso de envio. Por favor contactate con el remitente para mayor informacion. Que tengas un buen dia!;N/A;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.
Macro Premia;102004431 TRIMAGE S.A;PAQUETERIA;40041558;SINIESTRADO;14 - 35;N/A;ULTIMA MILLA;N/A;En todas sus visitas;Hola! Hemos finalizado el proceso de envio. Por favor contactate con el remitente para mayor informacion. Que tengas un buen dia!;N/A;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.
Macro Premia (MAM Direct Group);102004140 Direct Group ;PAQUETERIA;40040077 - 40040573 ;SINIESTRADO;14 - 35;N/A;ULTIMA MILLA;N/A;En todas sus visitas;Hola! Hemos finalizado el proceso de envio. Por favor contactate con el remitente para mayor informacion. Que tengas un buen dia!;N/A;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.
Macro Premia (MAM AC Eastway);102004176 Ac-Eastway;PAQUETERIA;40040134 - 40040415;SINIESTRADO;14 - 35;N/A;ULTIMA MILLA;N/A;En todas sus visitas;Hola! Hemos finalizado el proceso de envio. Por favor contactate con el remitente para mayor informacion. Que tengas un buen dia!;N/A;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.
Macro Premia (MAM Lamoliant S.R.L);102004216 Lamoliant S.R.L Direct Sale;PAQUETERIA;40040962;SINIESTRADO;14 - 35;N/A;ULTIMA MILLA;N/A;En todas sus visitas;Hola! Hemos finalizado el proceso de envio. Por favor contactate con el remitente para mayor informacion. Que tengas un buen dia!;N/A;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.
Macro Premia (MAM Etercor);102002628 Etercor;PAQUETERIA;40040062 - 40040263;SINIESTRADO;14 - 35;N/A;ULTIMA MILLA;N/A;En todas sus visitas;Hola! Hemos finalizado el proceso de envio. Por favor contactate con el remitente para mayor informacion. Que tengas un buen dia!;N/A;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.
Macro Premia (MAM Puntos y premios);102001628 Puntos y Premios;PAQUETERIA;40038713;SINIESTRADO;14 - 35;N/A;ULTIMA MILLA;N/A;En todas sus visitas;Hola! Hemos finalizado el proceso de envio. Por favor contactate con el remitente para mayor informacion. Que tengas un buen dia!;N/A;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.
OCASA POSTAL 1 VISITA;102003502;POSTAL;40037750 - 40039390;SINIESTRADO;14 - 35;N/A;ULTIMA MILLA;N/A;En todas sus visitas;Hola! Hemos finalizado el proceso de envio. Por favor contactate con el remitente para mayor informacion. Que tengas un buen dia!;N/A;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.
OCASA DISTRIBUCION POSTAL 2 VISITAS (Salvo Licencias de Conducir);102003502;POSTAL;40037567 - 40037570 - 40039211 ;SINIESTRADO;14 - 35;N/A;ULTIMA MILLA;N/A;En todas sus visitas;Hola! Hemos finalizado el proceso de envio. Por favor contactate con el remitente para mayor informacion. Que tengas un buen dia!;N/A;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.
OCASA POSTAL 3 VISITAS;;POSTAL;40036841 - 40037569 - 40039213 - 40001009;SINIESTRADO;14 - 35;N/A;ULTIMA MILLA;N/A;En todas sus visitas;Hola! Hemos finalizado el proceso de envio. Por favor contactate con el remitente para mayor informacion. Que tengas un buen dia!;N/A;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.
 DHL Global Forwarding;102003111;PAQUETERIA;40038162 - 40038346 - 40039098 - 40040229 - 40040655 - ;SINIESTRADO;14 - 35;N/A;ULTIMA MILLA;N/A;En todas sus visitas;Hola! Hemos finalizado el proceso de envio. Por favor contactate con el remitente para mayor informacion. Que tengas un buen dia!;N/A;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.
 A.C.A.R.A;102000421;PAQUETERIA;40015973 - 40024854 - 40031360 - 40033676 - 40041252;SINIESTRADO;14 - 35;N/A;ULTIMA MILLA;N/A;En todas sus visitas;Hola! Hemos finalizado el proceso de envio. Por favor contactate con el remitente para mayor informacion. Que tengas un buen dia!;N/A;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.
ARCOR SAIC;102001674;PAQUETERIA;40026359 - 40036077 - 40036242 - 40036400 - 40036401 - 40036402;SINIESTRADO;14 - 35;N/A;ULTIMA MILLA;N/A;En todas sus visitas;Hola! Hemos finalizado el proceso de envio. Por favor contactate con el remitente para mayor informacion. Que tengas un buen dia!;N/A;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.
BRIGHSTAR;102003470;PAQUETERIA;40038106 - 40039077 - 40039083 - 40040634 - 40040892 - ;SINIESTRADO;14 - 35;N/A;ULTIMA MILLA;N/A;En todas sus visitas;Hola! Hemos finalizado el proceso de envio. Por favor contactate con el remitente para mayor informacion. Que tengas un buen dia!;N/A;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.
 CAP E HIJOS;102004275;PAQUETERIA;40041003;SINIESTRADO;14 - 35;N/A;ULTIMA MILLA;N/A;En todas sus visitas;Hola! Hemos finalizado el proceso de envio. Por favor contactate con el remitente para mayor informacion. Que tengas un buen dia!;N/A;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.
 CARGILL;102003197;PAQUETERIA;40035941 - 40040824 - 40036561;SINIESTRADO;14 - 35;N/A;ULTIMA MILLA;N/A;En todas sus visitas;Hola! Hemos finalizado el proceso de envio. Por favor contactate con el remitente para mayor informacion. Que tengas un buen dia!;N/A;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.
GOBIERNO DE LA CIUDAD (ENTREGA E/SUC OCASA);102002456;POSTAL;40040847;SINIESTRADO;14 - 35;N/A;N/A;N/A;En todas sus visitas;Hola! Hemos finalizado el proceso de envio. Por favor contactate con el remitente para mayor informacion. Que tengas un buen dia!;N/A;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.;Finalizamos el proceso de envío. Por favor, comunicate con el remitente para obtener más información.
 Mercado Libre;102003501;ECOMMERCE;40036830;REENCAMINADA;15;- 72 HS HABILES / + 72 HS HABILES;ULTIMA MILLA;CLIENTE FINAL;En todas sus visitas;Hola!, por motivos de fuerza mayor, tu pedido no salio a distribucion. No te preocupes!, la cantidad de visitas pactadas se encuentran intactas y te estaremos visitando dentro de las proximas 24 a 72 hs habiles. Que tengas un buen dia! ;DERIVAR A ASESOR;;Por motivos de fuerza mayor, tu pedido no salió a distribución. No te preocupes, la cantidad de visitas pactadas están intactas y te visitaremos dentro de las próximas 24 a 72 hs hábiles 😉. ;X;PENDIENTE: Motivo reencaminado significa reprogramacion, por lo tanto es un motivo de fuerza mayor, la cual no sale a distribucion;Por motivos de fuerza mayor, no pudimos entregar tu pedido. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs hábiles.
Brandlive (2 visitas);102003095;PAQUETERIA;40035948 - 40036207 - 40036333 - 40036448 - 40036465 - 40036807 - 40036833 - 40036836 - 40036865 - 40036889 - 40037059 - 40037082 - 40037085 - 40037087 - 40037555 - 40037556 - 40037558 - 40037559 - 40037687 - 40037694 - 40037696 - 40037759 - 40038147 - 40038848 - 40039165 - 40039179 - 40039387 - 40039484 - 40040021 - 40041082 ;REENCAMINADA;15;- 72 HS HABILES / + 72 HS HABILES;ULTIMA MILLA;CLIENTE FINAL;En todas sus visitas;Hola!, por motivos de fuerza mayor, tu pedido no salio a distribucion. No te preocupes!, la cantidad de visitas pactadas se encuentran intactas y te estaremos visitando dentro de las proximas 24 a 72 hs habiles. Que tengas un buen dia! ;DERIVAR A ASESOR;;Por motivos de fuerza mayor, tu pedido no salió a distribución. No te preocupes, la cantidad de visitas pactadas están intactas y te visitaremos dentro de las próximas 24 a 72 hs hábiles 😉. ;;;Por motivos de fuerza mayor, no pudimos entregar tu pedido. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs hábiles.
Brandlive (3 visitas);102003095;PAQUETERIA;40034583 - 40034609 - 40034671 - 40034673 - 40035196 - 40035626 - 40035776 - 40041646 ;REENCAMINADA;15;- 72 HS HABILES / + 72 HS HABILES;ULTIMA MILLA;CLIENTE FINAL;En todas sus visitas;Hola!, por motivos de fuerza mayor, tu pedido no salio a distribucion. No te preocupes!, la cantidad de visitas pactadas se encuentran intactas y te estaremos visitando dentro de las proximas 24 a 72 hs habiles. Que tengas un buen dia! ;DERIVAR A ASESOR;;Por motivos de fuerza mayor, tu pedido no salió a distribución. No te preocupes, la cantidad de visitas pactadas están intactas y te visitaremos dentro de las próximas 24 a 72 hs hábiles 😉. ;;;Por motivos de fuerza mayor, no pudimos entregar tu pedido. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs hábiles.
 Topper (3 visitas);102002941;PAQUETERIA;40031939;REENCAMINADA;15;- 72 HS HABILES / + 72 HS HABILES;ULTIMA MILLA;CLIENTE FINAL;En todas sus visitas;Hola!, por motivos de fuerza mayor, tu pedido no salio a distribucion. No te preocupes!, la cantidad de visitas pactadas se encuentran intactas y te estaremos visitando dentro de las proximas 24 a 72 hs habiles. Que tengas un buen dia! ;DERIVAR A ASESOR;;Por motivos de fuerza mayor, tu pedido no salió a distribución. No te preocupes, la cantidad de visitas pactadas están intactas y te visitaremos dentro de las próximas 24 a 72 hs hábiles 😉. ;;;Por motivos de fuerza mayor, no pudimos entregar tu pedido. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs hábiles.
 Topper (MAM);102002941;PAQUETERIA;40037391;REENCAMINADA;15;- 72 HS HABILES / + 72 HS HABILES;ULTIMA MILLA;CLIENTE FINAL;En todas sus visitas;Hola!, por motivos de fuerza mayor, tu pedido no salio a distribucion. No te preocupes!, la cantidad de visitas pactadas se encuentran intactas y te estaremos visitando dentro de las proximas 24 a 72 hs habiles. Que tengas un buen dia! ;DERIVAR A ASESOR;;Por motivos de fuerza mayor, tu pedido no salió a distribución. No te preocupes, la cantidad de visitas pactadas están intactas y te visitaremos dentro de las próximas 24 a 72 hs hábiles 😉. ;;;Por motivos de fuerza mayor, no pudimos entregar tu pedido. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs hábiles.
Brandlive (MAM);102003095;PAQUETERIA;40036601;REENCAMINADA;15;- 72 HS HABILES / + 72 HS HABILES;ULTIMA MILLA;CLIENTE FINAL;En todas sus visitas;Hola!, por motivos de fuerza mayor, tu pedido no salio a distribucion. No te preocupes!, la cantidad de visitas pactadas se encuentran intactas y te estaremos visitando dentro de las proximas 24 a 72 hs habiles. Que tengas un buen dia! ;DERIVAR A ASESOR;;Por motivos de fuerza mayor, tu pedido no salió a distribución. No te preocupes, la cantidad de visitas pactadas están intactas y te visitaremos dentro de las próximas 24 a 72 hs hábiles 😉. ;;;Por motivos de fuerza mayor, no pudimos entregar tu pedido. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs hábiles.
 Officenet - ALOT;102001306;PAQUETERIA;40037368 - ;REENCAMINADA;15;- 72 HS HABILES / + 72 HS HABILES;ULTIMA MILLA;CLIENTE FINAL;En todas sus visitas;Hola!, por motivos de fuerza mayor, tu pedido no salio a distribucion. No te preocupes!, la cantidad de visitas pactadas se encuentran intactas y te estaremos visitando dentro de las proximas 24 a 72 hs habiles. Que tengas un buen dia! ;DERIVAR A ASESOR;;Por motivos de fuerza mayor, tu pedido no salió a distribución. No te preocupes, la cantidad de visitas pactadas están intactas y te visitaremos dentro de las próximas 24 a 72 hs hábiles 😉. ;;;Por motivos de fuerza mayor, no pudimos entregar tu pedido. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs hábiles.
GAX - Prune;102002806;PAQUETERIA;40037303;REENCAMINADA;15;- 72 HS HABILES / + 72 HS HABILES;ULTIMA MILLA;CLIENTE FINAL;En todas sus visitas;Hola!, por motivos de fuerza mayor, tu pedido no salio a distribucion. No te preocupes!, la cantidad de visitas pactadas se encuentran intactas y te estaremos visitando dentro de las proximas 24 a 72 hs habiles. Que tengas un buen dia! ;DERIVAR A ASESOR;;Por motivos de fuerza mayor, tu pedido no salió a distribución. No te preocupes, la cantidad de visitas pactadas están intactas y te visitaremos dentro de las próximas 24 a 72 hs hábiles 😉. ;;;Por motivos de fuerza mayor, no pudimos entregar tu pedido. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs hábiles.
SPP;102001254;PAQUETERIA;40021148 - 40040001 - 40041506;REENCAMINADA;15;- 72 HS HABILES / + 72 HS HABILES;ULTIMA MILLA;CLIENTE FINAL;En todas sus visitas;Hola!, por motivos de fuerza mayor, tu pedido no salio a distribucion. No te preocupes!, la cantidad de visitas pactadas se encuentran intactas y te estaremos visitando dentro de las proximas 24 a 72 hs habiles. Que tengas un buen dia! ;DERIVAR A ASESOR;;Por motivos de fuerza mayor, tu pedido no salió a distribución. No te preocupes, la cantidad de visitas pactadas están intactas y te visitaremos dentro de las próximas 24 a 72 hs hábiles 😉. ;;;Por motivos de fuerza mayor, no pudimos entregar tu pedido. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs hábiles.
 El auditor;102004520;PAQUETERIA;40041620;REENCAMINADA;15;- 72 HS HABILES / + 72 HS HABILES;ULTIMA MILLA;CLIENTE FINAL;En todas sus visitas;Hola!, por motivos de fuerza mayor, tu pedido no salio a distribucion. No te preocupes!, la cantidad de visitas pactadas se encuentran intactas y te estaremos visitando dentro de las proximas 24 a 72 hs habiles. Que tengas un buen dia! ;DERIVAR A ASESOR;;Por motivos de fuerza mayor, tu pedido no salió a distribución. No te preocupes, la cantidad de visitas pactadas están intactas y te visitaremos dentro de las próximas 24 a 72 hs hábiles 😉. ;;;Por motivos de fuerza mayor, no pudimos entregar tu pedido. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs hábiles.
 Puma;102003450;PAQUETERIA;40040115;REENCAMINADA;15;- 72 HS HABILES / + 72 HS HABILES;ULTIMA MILLA;CLIENTE FINAL;En todas sus visitas;Hola!, por motivos de fuerza mayor, tu pedido no salio a distribucion. No te preocupes!, la cantidad de visitas pactadas se encuentran intactas y te estaremos visitando dentro de las proximas 24 a 72 hs habiles. Que tengas un buen dia! ;DERIVAR A ASESOR;;Por motivos de fuerza mayor, tu pedido no salió a distribución. No te preocupes, la cantidad de visitas pactadas están intactas y te visitaremos dentro de las próximas 24 a 72 hs hábiles 😉. ;;;Por motivos de fuerza mayor, no pudimos entregar tu pedido. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs hábiles.
 Pickit;102003190;PAQUETERIA;40036896 - 40037606 - 40035570 - 40037273 - 40037314 - 40038562 - 40039029 - 40040169 - 40040170 - 40041213 - 40040944 - 40040278 - 40040213 - ;REENCAMINADA;15;- 72 HS HABILES / + 72 HS HABILES;ULTIMA MILLA;CLIENTE FINAL;En todas sus visitas;Hola!, por motivos de fuerza mayor, tu pedido no salio a distribucion. No te preocupes!, la cantidad de visitas pactadas se encuentran intactas y te estaremos visitando dentro de las proximas 24 a 72 hs habiles. Que tengas un buen dia! ;DERIVAR A ASESOR;;Por motivos de fuerza mayor, tu pedido no salió a distribución. No te preocupes, la cantidad de visitas pactadas están intactas y te visitaremos dentro de las próximas 24 a 72 hs hábiles 😉. ;;;Por motivos de fuerza mayor, no pudimos entregar tu pedido. No te preocupes, volveremos a pasar dentro de las próximas 24 a 72 hs hábiles.
